,,,
TANGGAL,INFLASI HARGA KONSUMEN,KURS,IMPOR
Januari_2006,1.36,9370,4389
Februari,1.95,9182.5,4527.9
Maret,1.98,9087,4410.1
April,2.03,8785,4779.7
Mei,2.41,9255,5097.2
Juni,2.87,9263,5724.9
Juli,3.33,9095,5425
Agustus,3.67,9117,5704.1
September,4.06,9205,5647.1
Oktober,4.96,9094,4582
November,5.32,9165,5810
Desember,6.6,8993.5,4968.5
Januari_2007,1.04,9100,5283.5
Februari,1.67,9131.5,4663.2
Maret,1.91,9120,5646.6
April,1.74,9088,5643.6
Mei,1.84,8827,6455.4
Juni,2.08,9035,6014.8
Juli,2.81,9225,6360.5
Agustus,3.58,9390,6916.8
September,4.41,9145,6791.1
Oktober,5.24,9097.5,6286
November,5.43,9370,7574.1
Desember,6.59,9392.5,6837.8
Januari_2008,1.77,9246.5,9608.1
Februari,2.44,9065,9842.9
Maret,3.41,9215,10276.7
April,4.01,9222,11646.6
Mei,5.47,9315,11664.2
Juni,7.37,9220,12110.5
Juli,8.85,9095,12869.8
Agustus,9.4,9150,12326.2
September,10.47,9415,11342.9
Oktober,10.96,10900,10732.5
November,11.1,12025,9081.3
Desember,11.06,10900,7695.6
Januari_2009,-0.07,11380,6600.6
Februari,0.14,11980,5939
Maret,0.36,11555,6554.1
April,0.05,10585,6706.8
Mei,0.1,10290,7641.3
Juni,0.21,10207.5,7935.5
Juli,0.66,9925,8683.3
Agustus,1.22,10080,9707.3
September,2.28,9645,8516.6
Oktober,2.48,9550,9430.1
November,2.45,9455,8814.7
Desember,2.78,9425,10299.9
Januari_2010,0.84,9350,9490.5
Februari,1.14,9337,9498.1
Maret,0.99,9090,10972.6
April,1.15,9012.5,11235.8
Mei,1.44,9175,9980.4
Juni,2.42,9060,11760
Juli,4.02,8940,12625.9
Agustus,4.82,9035,12171.6
September,5.28,8925,9654.1
Oktober,5.35,8935,12120
November,5.98,9029,13007.6
Desember,6.96,9005,13146.7
Januari_2011,0.89,9043,12558.7
Februari,1.03,8818,11749.9
Maret,0.7,8705,14486.2
April,0.39,8563,14888.2
Mei,0.51,8532,14825.9
Juni,1.06,8573,15072.1
Juli,1.74,8495,16207.3
Agustus,2.69,8528,15075.4
September,2.97,8780,15169.1
Oktober,2.85,8850,15533.4
November,3.2,9105,15393.9
Desember,3.79,9060,16475.6
Januari_2012,0.76,8980,14554.6
Februari,0.81,9010,14866.8
Maret,0.88,9139,16325.7
April,1.09,9188,16937.9
Mei,1.15,9390,17036.7
Juni,1.79,9385,16727.5
Juli,2.5,9440,16354.4
Agustus,3.48,9530,13813.9
September,3.49,9565,15348.6
Oktober,3.66,9600,17207.9
November,3.73,9588,16935
Desember,4.3,9630,15582
Januari_2013,1.03,9690,15450.2
Februari,1.79,9660,15313.3
Maret,2.43,9715,14887.1
April,2.32,9720,16463.5
Mei,2.3,9790,16660.5
Juni,3.35,9920,15636
Juli,6.75,10270,17417
Agustus,7.94,10910,13012.1
September,7.57,11570,15509.8
Oktober,7.66,11265,15674
November,7.79,11955,15149.3
Desember,8.38,12160,15455.9
Januari_2014,1.07,12205,14916.2
Februari,1.33,11604,13790.7
Maret,1.41,11355,14523.7
April,1.39,11558,16255
Mei,1.56,11670,14770.3
